Question, Tag
If T_1 O 1 give the correct matching for the following pairs M T_n T_ n 1 n U T_n O n N T_n T_ n 2 n V T_n O n log n O T_n T_ n 2 n log n W T O n 2 P T_n T_ n 1 log n X T_n O log 2 n M W N V O U P X M W N U O X P V M V N W O X P U M W N U O V P X ,Asymptotic Notations
Consider the following functions f n 3n sqrt n g n 2 sqrt n log_ 2 n h n n Which of the following is true h n is O f n h n is O g n g n is not O f n f n is O g n   ,Asymptotic Notations
Let f n n 2 log n and g n n log n 10 be two positive functions of n Which of the following statements is correct f n O g n ext and g n eq O f n g n O f n ext and f n eq O g n f n eq O g n ext and g n eq O f n f n O g n ext and g n O f n ,Asymptotic Notations
Consider the following three claims n k m Theta n m where k and m are constants 2 n 1 O 2 n 2 2n 1 O 2 n Which of the following claims are correct I and II I and III II and III I II and III ,Asymptotic Notations
Let f n g n and h n be functions defined for positive inter such that  f n O g n g n  eq  O f n g n O h n and h n O g n Which one of the following statements is FALSE f n g n O h n  h n f n O h n h n eq  O f n f n h n eq  O g n h n ,Asymptotic Notations
We are given a set of n distinct elements and an unlabeled binary tree with n nodes In how many ways can we populate the tree with the given set so that it becomes a binary search tree 0 1 n frac 1 n 1 2n C_n ,Bst
The subset sum problem is defined as follows Given a set of n positive integers S a_1 a_2 a_3 dots a_n and positive integer W is there a subset of S whose elements sum to W A dynamic program for solving this problem uses a 2 dimensional Boolean array X with n rows and W 1 columns  X i j 1 leq i leq n 0 leq j leq  W is TRUE if and only if there is a subset of a_1 a_2 dots a_i whose elements sum to j Which  of the following is valid for 2 leq i leq n and a_i leq j leq W X i j X i 1 j vee X i j a_i X i j X i 1 j vee  X i 1 j a_i X i j X i 1 j wedge X i j a_i X i j X i 1 j wedge  X i 1 j a_i ,Dynamic Programming
The subset sum problem is defined as follows Given a set of n positive integers S a_1 a_2 a_3 dots a_n and positive integer W is there a subset of S whose elements sum to W A dynamic program for solving this problem uses a 2 dimensional Boolean array X with n rows and W 1 columns X i j 1 leq i leq n 0 leq j leq W is TRUE if and only if there is a subset of a_1 a_2 dots a_i whose elements sum to j Which entry of the array X if TRUE implies that there is a subset whose elements sum to W X 1 W X n 0 X n W X n 1 n ,Dynamic Programming
A sub sequence of a given sequence is just the given sequence with some elements possibly none or all left out We are given two sequences X m and Y n of lengths m and n respectively with indexes of X and Y starting from 0 We wish to find the length of the longest common sub sequence LCS of X m and Y n as l m n where an incomplete recursive definition for the function I i j to compute the length of the LCS of X m and Y n is given below l i j 0 if either i 0 or j 0 expr1 if i j gt 0 and X i 1 Y j 1 expr2 if i j gt 0 and X i 1 u2260 Y j 1 Which one of the following options is correct ext expr1 l left i 1 j right 1 ext expr1 l left i j 1 right ext expr2 max left l left i 1 j right l left i j 1 right right ext expr2 max left l left i 1 j 1 right l left i j right right ,Dynamic Programming
A sub sequence of a given sequence is just the given sequence with some elements possibly none or all left out We are given two sequences X m and Y n of lengths m and n respectively with indexes of X and Y starting from 0 We wish to find the length of the longest common sub sequence LCS of X m and Y n as l m n where an incomplete recursive definition for the function I i j to compute the length of the LCS of X m and Y n is given below l i j  0 if either i 0 or j 0     expr1 if i j gt 0 and X i 1 Y j 1     expr2 if i j gt 0 and X i 1 u2260 Y j 1 The value of l i j could be obtained by dynamic programming based on the correct recursive definition of l i j of the form given above using an array L M N where M m 1 and N n 1 such that L i j l i j Which one of the following statements would be TRUE regarding the dynamic programming solution for the recursive definition of l i j All elements of L should be initialized to 0 for the values of l i j to be properly computed The values of l i j may be computed in a row major order or column major order of L M N The values of l i j cannot be computed in either row major order or column major order of L M N L p q needs to be computed before L r s if either p lt r or q lt s ,Dynamic Programming
The weight of a sequence a_0 a_1 dots a_ n 1 of real numbers is defined as a_0 a_1 2 dots a_ n 1 2 n 1 A subsequence of a sequence is obtained by deleting some elements from the sequence keeping the order of the remaining elements the same Let X denote the maximum possible weight of a subsequence of a_o a_1 dots a_ n 1 and Y the maximum possible weight of a subsequence of a_1 a_2 dots a_ n 1 Then X is equal to max Y a_0 Y max Y a_0 Y 2 max Y a_0 2Y a_0 Y 2 ,Dynamic Programming
An algorithm to find the length of the longest monotonically increasing sequence of numbers in an array A 0 n 1 is given below Let L_i denote the length of the longest monotonically increasing sequence starting at index i in the array Initialize L_ n 1 1 For all i such that 0 leq i leq n 2 L_i begin cases 1 L_ i 1 amp  quad ext if A i lt A i 1 1 amp quad ext Otherwise end cases Finally the the length of the longest monotonically increasing sequence is ext Max L_0 L_1 dots L_ n 1 Which of the following statements is  TRUE The algorithm uses dynamic programming paradigm The algorithm has a linear complexity and uses branch and bound paradigm The algorithm has a non linear polynomial complexity and uses branch and bound paradigm The algorithm uses divide and conquer paradigm ,Dynamic Programming
Four Matrices M_1 M_2 M_3 and M_4 of dimensions p imes q q imes r r imes s and s imes t respectively can be multiplied in several ways with different number of total scalar multiplications For example when multiplied as M_1 imes M_2 imes M_3 imes M_4 the total number of scalar multiplications is pqr rst prt When multiplied as M_1 imes M_2 imes M_3 imes M_4 the total number of scalar multiplications is pqr prs pst If p 10 q 100 r 20 s 5 and t 80 then the minimum number of scalar multiplications needed is  248000  44000  19000  25000 ,Dynamic Programming
Consider the following directed graph   The number of different topological orderings of the vertices of the graph is _____________ ,Graph Algorithms
Which of the following statements is false Optimal binary search tree construction can be performed efficiently using dynamic programming Breadth first search cannot be used to find connected components of a graph Given the prefix and postfix walks over a binary tree the binary tree cannot be uniquely constructed Depth first search can be used to find connected components of a graph ,Graph Algorithms
An independent set in a graph is a subset of vertices such that no two vertices in the subset are connected by an edge An incomplete scheme for a greedy algorithm to find a maximum independent set in a tree is given below V Set of all vertices in the tree I u03d5 while V u2260 u03d5 do begin select a vertex u u220a V such that _______ V V u if u is such that ________then I I u222a u end Output I Complete the algorithm by specifying the property of vertex u in each case What is the time complexity of the algorithm  ,Graph Algorithms
Let G be the directed weighted graph shown in below figure We are interested in the shortest paths from A Output the sequence of vertices identified by the Dijkstra u2019s algorithm for single source shortest path when the algorithm is started at node A Write down sequence of vertices in the shortest path from A to E What is the cost of the shortest path from A to E  ,Graph Algorithms
 Which one of the following algorithm design techniques is used in finding all pairs of shortest distances in a graph Dynamic programming Backtracking Greedy Divide and Conquer  ,Graph Algorithms
The most appropriate matching for the following pairs X depth first search 1 heap Y breadth first search 2 queue Z sorting 3 stack is X 1  Y 2  Z 3 X 3  Y 1  Z 2 X 3  Y 2  Z 1 X 2  Y 3  Z 1 ,Graph Algorithms
Consider an undirected unweighted graph G Let a breadth first traversal of G be done starting from a node r Let d r u and d r v be the lengths of the shortest paths from r to u and v respectively in G if u visited before v during the breadth first traversal which of the following statements is correct d r u lt d r v d r u gt d r v d r u leq d r v None of the above ,Graph Algorithms
You are given n positive integers d_1 d_2 dots d_n each greater than 0 Design a greedy algorithm to test whether these integers correspond to the degrees of some n vertex simple undirected graph G V E A simple graph has no self loops and at most one edge between any pair of vertices ,Greedy Algorithm
The minimum number of record movements required to merge five files A with 10 records B with 20 records C with 15 records D with 5 records and E with 25 records is 165 90 75 65 ,Greedy Algorithm
The following are the starting and ending times of activities A B C D E F G and H respectively in chronological order u201ca_s  b_s c_s a_e d_s c_e e_s f_s b_e d_e g_s e_e f_e h_s g_e h_e u201d Here x_s denotes  the starting time and x_e denotes the ending time of activity X We need to schedule the activities in a set of rooms available to  us An activity can be scheduled in a room only if the room is reserved for the activity for its entire duration What is the minimum number of rooms required 3 4 5 6 ,Greedy Algorithm
We are given 9 tasks T_1 T_2 dots T_9 The execution of each task requires one unit of time We can execute one task at a time Each task T_i has a profit P_i and a deadline d_i Profit P_i is earned if the task is completed before the end of the d_i th unit of time Task T_1 T_2 T_3 T_4 T_5 T_6 T_7 T_8 T_9 Profit 15 20 30 18 18 10 23 16 25 Deadline 7 2 5 3 4 5 2 7 3 Are all tasks completed in the schedule that gives maximum profit All tasks are completed T_1 and T_6 are left out T_1 and T_8 are left out T_4 and T_6 are left out ,Greedy Algorithm
We are given 9 tasks T_1 T_2 dots T_9 The execution of each task requires one unit of time We can execute one task at a time Each task T_i has a profit P_i and a deadline d_i Profit P_i is earned if the task is completed before the end of the d_i th unit of time Task T_1 T_2 T_3 T_4 T_5 T_6 T_7 T_8 T_9 Profit 15 20 30 18 18 10 23 16 25 Deadline 7 2 5 3 4 5 2 7 3 What is the maximum profit earned 147 165 167 175 ,Greedy Algorithm
The characters a to h have the set of frequencies based on the first 8 Fibonacci numbers as follows a 1 b 1 c 2 d 3 e 5 f 8 g 13 h 21 A Huffman code is used to represent the characters What is the sequence of characters corresponding to the following code 110111100111010 fdheg ecgdf dchfg fehdg ,Greedy Algorithm
Suppose the letters a b c d e f have probabilities frac 1 2 frac 1 4 frac 1 8 frac 1 16 frac 1 32 frac 1 32 respectively  Which of the following is the Huffman code for the letter a b c d e f 0 10 110 1110 11110 11111 11 10 011 010 001 000 11 10 01 001 0001 0000 110 100 010 000 001 111 ,Greedy Algorithm
A message is made up  entirely of characters from the set X P Q R S T The table of probabilities for each of the characters is shown below Character Probability P 0 22 Q 0 34 R 0 17 S 0 19 T 0 08 Total 1 00 If a message of 100 characters over X is encoded using Huffman coding then the expected length of the encoded message in bits is ______  ,Huffman Code
Choose the correct alternatives more than one may be correct and write the corresponding letters only Consider the following Pascal function Function X M integer integer Var i integer Begin i 0 while i i lt M do i i 1 X i end The function call X N if N is positive will return lfloor sqrt N rfloor lfloor sqrt N rfloor 1 lceil sqrt N rceil lceil sqrt N rceil 1 None of the above ,Identify Function
What function of x n is computed by this program Function what x n integer integer Var value integer begin value 1 if n gt 0 then begin if n mod 2 1 then value value x value value what x x n div 2 end what value end  ,Identify Function
In the following Pascal program segment what is the value of X after the execution of the program segment X 10 Y 20 If X gt Y then if X lt 0 then X abs X else X 2 X 10 20 10 None  ,Identify Function
What value would the following function return for the input x 95 Function fun x integer integer Begin If x gt 100 then fun x u2013 10 Else fun fun fun x 11 End 89 90 91 92   ,Identify Function
Consider the following C function definition int Trial int a int b int c if a gt b amp amp c lt b return b else if a gt b return Trial a c b else return Trial b a c The functional Trial Finds the maximum of a b and c Finds the minimum of a b and c Finds the middle number of a b c None of the above  ,Identify Function
Suppose you are given an array s 1 n and a procedure reverse s i j which reverses the order of elements in s  between positions i and j both inclusive What does the following sequence do where 1  leqslant  k  leqslant n reverse s 1 k reverse s k 1 n  reverse s 1 n Rotates s  left by k  positions Leaves s  unchanged  Reverses all elements of  s None of the above ,Identify Function
Consider the following C function For large values of y the return value of the function f best approximates float f float x int y float p s int i for s 1 p 1 i 1 i lt y i p x i s p return s x y e x ext ln 1 x x x ,Identify Function
The minimum number of comparisons required to find the minimum and the maximum of 100 numbers is ________,Minimum Maximum
Given a set of n distinct numbers we would like to determine both the smallest and the largest  number Which of the following statements is TRUE These two elements can be determined using O left log 100 n right  comparisons O left log 100 n right  comparisons do not suffice however these two elements can be determined using n  O log n comparisons n O log n comparisons do not suffice however these two elements can be determined using 3 lceil n 2 rceil  comparisons 3 lceil n 2 rceil  comparisons do not suffice however these two elements can be determined using 2 n 1 comparisons None of the above ,Minimum Maximum
Consider the problem of computing the minimum of a set of n distinct numbers We choose a  permutation uniformly at random i e each of the n permutations of left langle 1 n right rangle  is chosen with probability 1 n and we inspect the numbers in the order given by this permutation  We maintain a variable MIN that holds the minimum value seen so far MIN is initialized to infty  and if we see a value smaller than MIN during our inspection then MIN is updated For example in the inspection  given by the following sequence MIN is updated four times   5 9 4 2 6 8 0 3 1 7 What is the expected number of times MIN is updated O 1 H_ n sum n _ i 1 1 i sqrt n n 2 n ,Minimum Maximum
Given a set of n distinct numbers we would like to determine the smallest three numbers in this set  using comparisons Which of the following statements is TRUE These three elements can be determined using O left log 2 n right  comparisons O left log 2 n right comparisons do not suffice however these three elements can be determined using n O 1  comparisons n O 1 comparisons do not suffice however these three elements can be determined using n O log n comparisons n O log n comparisons do not suffice however these three elements can be determined using O n  comparisons None of the above ,Minimum Maximum
Ram and Shyam have been asked to show that a certain problem Pi is NP complete Ram shows a polynomial time reduction from the 3 SAT problem to Pi and Shyam shows a polynomial time reduction from Pi to 3 SAT Which of the following can be inferred from these reductions Pi is NP hard but not NP complete Pi is in NP but is not NP complete Pi is NP complete Pi is neither NP hard nor in NP ,Np Completeness
Let S be an NP complete problem and Q and R be two other problems not known to be in NP Q is polynomial time reducible to S and S is polynomial time reducible to R Which one of the following statements is true R is NP complete R is NP hard Q is NP complete Q is NP hard ,Np Completeness
The subset sum problem is defined as follows Given a set S of n positive integers and a positive integer W determine whether there is a subset of S whose elements sum to W An algorithm Q solves this problem in O nW time Which of the following statements is false Q solves the subset sum problem in polynomial time when the input is encoded in unary Q  solves the subset sum problem in polynomial time when the input is encoded in binary The subset sum  problem belongs to the class NP The subset sum problem is NP hard ,Np Completeness
Assuming P eq  NP which of the following is TRUE NP complete NP NP complete cap  P phi NP hard NP P NP complete ,Np Completeness
Which of the following statements are TRUE The problem of determining whether there exists a cycle in an undirected graph is in P The problem of determining whether there exists a cycle in an undirected graph is in NP If a problem A is NP Complete there exists a non deterministic polynomial time algorithm to solve A  1 2 and 3   1 and 2 only   2 and 3 only   1 and 3 only ,Np Completeness
There are 5 bags labeled 1 to 5 All the coins in a given bag have the same weight Some bags have coins of weight 10 gm others have coins of weight 11 gm I pick 1 2 4 8 16 coins respectively from bags 1 to 5 Their total weight comes out to 323 gm Then the product of the labels of the bags having 11 gm coins is ___ ,Numerical Computation
Consider the following game There is a list of distinct numbers At any round a player arbitrarily  chooses two numbers a b from the list and generates a new number c by subtracting the smaller number  from the larger one The numbers a and b are put back in the list If the number c is non zero and is not yet  in the list c is added to the list The player is allowed to play as many rounds as the player wants The score  of a player at the end is the size of the final list Suppose at the beginning of the game the list contains the following numbers 48 99 120 165 and 273  What is the score of the best player for this game 40 16 33 91 123 ,Numerical Computation
A container originally contains 10 litres of pure spirit From this container 1 litre of spirit replaced with 1 litre of water Subsequently 1 litre of the mixture is again replaced with 1 litre of water and this process is repeated one more time How much spirit is now left in the container 7 58 litres 7 84 litres 7 litres 7 29 litres ,Numerical Computation
If large left z dfrac 1 z right 2 98 compute large left z 2 dfrac 1 z 2 right ,Numerical Computation
A marine biologist wanted to estimate the number of fish in a large lake He threw a net and found 30 fish in the net He marked all these fish and released them into the lake The next morning he again threw the net and this time caught 40 fish of which two were found to be marked The approximate number of fish in the lake is 600 1200 68 800 120  ,Numerical Computation
Solve the recurrence equations T n T n 1 n T 1 1 ,Recurrence
Express T n in terms of the harmonic number H_ n sum_ t 1 n 1 i n geq 1 where T n satisfies the recurrence relation T n frac n 1 n T n 1 1 for n geq sum and T 1 1 What is the asymptotic behaviour of T n as a function of n ,Recurrence
Consider the function F n for which the pseudocode is given below Function F n begin F1 u2190 1 if n 1 then F u2190 3 else For i 1 to n do begin C u2190 0 For j 1 to n u2013 1 do begin C u2190 C 1 end F1 F1 C end F F1 end n is a positive integer greater than zero Solve the recurrence relation for a closed form solution of F n ,Recurrence
Consider the recursive algorithm given below procedure bubblesort n var i j index temp item begin for i 1 to n 1 do if A i gt A i 1 then begin temp A i A i A i 1 A i 1 temp end bubblesort n 1 end Let a_n be the number of times the u2018if u2026then u2026 u2019 statement gets executed when the algorithm is run with value n Set up the recurrence relation by defining a_n in terms of a_ n 1 Solve for a_n ,Recurrence
The recurrence relation that arises in relation with the complexity of binary search is T n 2T left frac n 2 right k ext k is a constant T n T left frac n 2 right k ext k is a constant T n T left frac n 2 right log n T n T left frac n 2 right n  ,Recurrence
The recurrence relation T 1 2 T n 3T frac n 4 n has the solution T n equal to O n O log n O left n frac 3 4 right  None of the above  ,Recurrence
Let T n be the function defined by T 1 1 T n 2T lfloor frac n 2 rfloor sqrt n for n geq 2 Which of the following statements is true T n O sqrt n T n O n T n O log n None of the above ,Recurrence
Consider the following program that attempts to locate an element x in an array a using binary search Assume N gt 1 The program is erroneous Under what conditions does the program fail var i j k integer x integer a array 1 N of integer begin i 1 j n repeat k i j div 2 if a k lt x then i k else j k until a k x or i gt j if a k x then writeln x is in the array else writeln x is not in the array end ,Searching
The average number of key comparisons required for a successful search for sequential search on n items is frac n 2 frac n 1 2 frac n 1 2 None of the above ,Searching
Consider the following algorithm for searching for a given number x in an unsorted array A 1 n having n distinct values Choose an i at random from 1 n If A i x then Stop else Goto 1 Assuming that x is present in A what is the expected number of comparisons made by the algorithm before it terminates n n 1 2n frac n 2 ,Searching
Consider the following C program that attempts to locate an element x in an  array Y using binary search The program is erroneous  f int Y 10 int x int u j k i 0 j 9 do k i j 2 if Y k lt x i k else j k while Y k x amp amp i lt j if Y k x printf x is in the array else printf x is not in the array On which of the following contents of Y and x does the program fail  Y is 1 2 3 4 5 6 7 8 9 10 and x lt 10   Y is 1 3 5 7  9  11   13 15 17 19 and x lt 1  Y is 2  2 2  2  2  2  2 2 2 2 and x gt 2  Y is 2 4 6 8 10 12 14 16 18 20 and 2 lt x lt 20 and x is even ,Searching
Consider the following C program that attempts to locate an element x  in an array Y  using binary search The program is erroneous  f int Y 10 int x int u j k i 0 j 9 do k i j 2 if Y k lt x i k else j k while Y k x amp amp i lt j if Y k x printf x is in the array else printf x is not in the array The correction needed in the program to make it work properly is  Change line 6 to  if Y k lt x i k 1 else j k 1  Change line 6 to  if Y k lt x i k 1 else j k 1  Change line 6 to  if Y k lt x i k else j k Change line 7 to  while Y k x amp amp i lt j ,Searching
Let  A be an array of 31 numbers consisting of a sequence of 0 s followed by a sequence of 1 s The problem is to find the smallest index  i such that  A left i right is 1 by probing the minimum number of locations in  A The  worst case  number of probes performed by an  optimal  algorithm is ____________ ,Searching
Suppose you are given an array A with 2n numbers The numbers in odd positions are sorted in ascending order that is A 1 leq A 3 leq ldots leq A 2n 1 The numbers in even positions are sorted in descending order that is A 2 geq A 4 geq ldots geq A 2n What is the method you would recommend for determining if a given number is in the array Sort the array using quick sort and then use binary search Merge the sorted lists and perform binary search Perform a single binary search on the entire array Perform separate binary searches on the odd positions and the even positions Search sequentially from the end of the array  ,Searching
You have n lists each consisting of m integers sorted in ascending order Merging these lists into a single sorted list will take time O nm log  m O mn log  n O m n O mn  ,Sorting
The worst case running times of Insertion sort Merge sort and Quick sort respectively are Theta n log n Theta n log n and Theta n 2 Theta n 2 Theta n 2 and Theta n log n Theta n 2 Theta n log n and Theta n log n Theta n 2 Theta n log n and Theta n 2 ,Sorting
Let P be a quicksort program to sort numbers in ascending order Let t_ 1 and t_ 2 be the time taken by the program for the inputs 1  2 3 4 and 5 4 3 2 1 respectively Which of the following holds t_ 1 t_ 2 t_ 1 gt t_ 2 t_ 1 lt t_ 2 t_ 1 t_ 2 5 log 5 ,Sorting
The minimum number of comparisons required to sort 5 elements is ____,Sorting
Give an optimal algorithm in pseudo code for sorting a sequence of n numbers which has only k distinct numbers k is not known a Priori Give a brief analysis for the time complexity of your algorithm ,Sorting
Choose the correct alternatives more than one may be correct and write the corresponding letters only Following algorithm s can be used to sort n in the range 1 n 3 in O n time Heap sort Quick sort Merge sort Radix sort ,Sorting
Assume that the last element of the set is used as partition element in Quicksort If n distinct elements from the set left 1 dots n right are to be sorted give an input for which Quicksort takes maximum time ,Sorting
Let G be a weighted connected undirected graph with distinct positive edge weights If every edge weight is increased by the same value then which of the following statements is are TRUE P Minimum spanning tree of G does not change Q Shortest path between any pair of vertices does not change P only Q only Neither P nor Q Both P and Q  ,Spanning Tree
Let G be a complete undirected graph on 4 vertices having 6 edges with weights being 1 2 3  4 5 and 6 The maximum possible weight that a minimum weight spanning tree of G can have is __________,Spanning Tree
 G V E is an undirected simple graph in which each edge has a distinct weight and e is a particular edge of G Which of the following statements about the minimum spanning trees MSTs of G is are TRUE If e is the lightest edge of some cycle in G then every MST of G  includes e If e is the heaviest edge of some cycle in G then every MST of G excludes e  I only II only Both I and II Neither I nor II  ,Spanning Tree
Choose the correct alternatives more than one may be correct and write the corresponding letters only Kruskal u2019s algorithm for finding a minimum spanning tree of a weighted graph G with n vertices and m edges has the time complexity of  O n 2 O mn O m n O m log n O m 2 ,Spanning Tree
Complexity of Kruskal u2019s algorithm for finding the minimum spanning tree of an undirected graph containing n vertices and m edges if the edges are sorted is _______,Spanning Tree
A complete undirected weighted graph G is given on the vertex 0 1 dots n 1 for any fixed u2018n u2019 Draw the minimum spanning tree of G if the weight of the edge u v is mid u v mid the weight of the edge u v is u v  ,Spanning Tree
 Consider a graph whose vertices are points in the plane with integer co ordinates x y such that 1 leq x leq n and 1 leq y leq n where n geq 2 is an integer Two vertices x_1 y_1 and x_2 y_2 are adjacent iff mid x_1 x_2 mid leq 1 ext and mid y_1 ndash y_2 mid leq 1 The weight of an edge x_1 y_1 x_2 y_2 ext is sqrt x_1 ndash x_2 2 y_1 ndash y_2 2 What is the weight of a minimum weight spanning tree in this graph Write only the answer without any explanations What is the weight of a maximum weight spanning tree in this graph Write only the answer without any explanations ,Spanning Tree
How many times is the comparison i gt n performed in the following program int i 85 n 5 main while i gt n i i 1 n n 1 40 41 42 43 ,Time Complexity
Match the pairs in the following questions A O log n p Heapsort B O n q Depth first search C O n log n r Binary search D O n 2 s Selection of the k th smallest element in a set of n elements  ,Time Complexity
 displaystyle sum_ 1 leq k leq n O n where O n stands for order n is O n O n 2 O n 3 O 3n 2 O 1 5n 2  ,Time Complexity
Suppose we want to arrange the n numbers stored in any array such that all negative values occur before all positive ones Minimum number of exchanges required in the worst case is n 1 n n 1 None of the above ,Time Complexity
If n is a power of 2 then the minimum number of multiplications needed to compute a n is log_2 n sqrt n n 1 n ,Time Complexity
Consider the following algorithms Assume procedure A and procedure B take O 1 and O 1 n unit of time respectively Derive the time complexity of the algorithm in O notation algorithm what n begin if n 1 then call A else begin what n 1 call B n end end  ,Time Complexity
Let S be a sorted array of n integers Let T n denote the time taken for the most efficient algorithm to determined if there are two elements with sum less than 1000 in S Which of the following statement is true T n is O 1 n leq  T n leq n log_2 n n log_2 n  u2264 T n  lt frac n 2 T n left frac n 2 right ,Time Complexity
The most relevant addressing mode to write position independent codes is Direct mode Indirect mode Relative mode Indexed mode ,Addressing Modes
Match the pairs in the following questions A Base addressing p Reentranecy B Indexed addressing q Accumulator C Stack addressing r Array D Implied addressing s Position independent  ,Addressing Modes
 The instruction format of a CPU is OP CODE MODE RegR _____one memory word___  Mode and RegR together specify the operand RegR specifies a CPU register and Mode specifies an addressing mode In particular Mode 2 specifies that lsquo the register RegR contains the address of the operand after fetching the operand the contents of R RegR are incremented by 1 An instruction at memory location 2000 specifies Mode 2 and the RegR refers to program counter PC What is the address of the operand Assuming that is a non jump instruction what are the contents of PC after the execution of this instruction ,Addressing Modes
 Relative mode of addressing is most relevant to writing Co routines Position ndash independent code Shareable code Interrupt Handlers  ,Addressing Modes
 Which of the following addressing modes permits relocation without any change whatsoever in the code Indirect addressing Indexed addressing Base register addressing PC relative addressing  ,Addressing Modes
 A certain processor supports only the immediate and the direct addressing modes Which of the following programming language features cannot be implemented on this processor Pointers Arrays Records Recursive procedures with local variable  ,Addressing Modes
The most appropriate matching for the following pairs X Indirect addressing 1 Loops Y Immediate addressing 2 Pointers Z Auto decrement addressing 3 Constants is X 3  Y 2  Z 1 X 1  Y 3  Z 2 X 2  Y 3  Z 1 X 3  Y 1  Z 2 ,Addressing Modes
A block set associative cache memory consists of 128 blocks divided into four block sets The main memory consists of 16 384 blocks and each block contains 256 eight bit words How many bits are required for addressing the main memory How many bits are needed to represent the TAG SET and WORD fields ,Cache Memory
The access times of the main memory and the Cache memory in a computer system are 500 n sec and 50 n sec respectively It is estimated that 80 of the main memory request are for read the rest for write The hit ratio for the read access only is 0 9 and a write through policy where both main and cache memories are updated simultaneously is used Determine the average time of the main memory ,Cache Memory
In the three level memory hierarchy shown in the following table p_i denotes the probability that an access request will refer to M_i Hierarchy Level M_i Access Time t_i Probability of access p_i Page Transfer Time T_i M_1 M_2 M_3 10 6 10 5 10 4 0 99000 0 00998 0 00002 0 001 sec 0 1 sec If a miss occurs at level M_i a page transfer occurs from M_ i 1 to M_i and the average time required for such a page swap is T_i Calculate the average time t_A required for a processor to read one word from this memory system ,Cache Memory
The principle of locality justifies the use of Interrupts DMA Polling Cache Memory ,Cache Memory
